Label,Name,Pronun­ciation,Image,"Abs.
mag.","Dia­meter
(km)","Mass
(× 1015 kg)","Semi-major axis
(km)","Orbital period
(d)","Incli­nation
(°)",Eccen­tric­ity,"Disco­very
year",Year anno­unced,Disco­verer,Group
XVI,Metis,/ˈmiːtəs/,,10.5,"43.4
(60 × 40 × 34)",123.9,128000,"+0.2959
(+7h 06m 04s)",0.060,0.0002,1979,1980,"Synnott
(Voyager 1)",Inner
XV,Adrastea,/ædrəˈstiːə/,,12.0,"16.5
(20 × 16 × 14)",2.0,129000,"+0.2994
(+7h 11m 4s)",0.030,0.0015,1979,1979,"Jewitt
(Voyager 2)",Inner
V,Amalthea,/æməlˈθiːə/,,7.1,"167.2
(250 × 146 × 128)",2096.4,181366,"+0.4990
(+11h 58m 37s)",0.374,0.0032,1892,1892,Barnard,Inner
XIV,Thebe,/ˈθiːbiː/,,9.0,"98.5
(116 × 98 × 84)",700.0,221889,"+0.6753
(+16h 12m 27s)",1.076,0.0175,1979,1980,"Synnott
(Voyager 1)",Inner
I,Io♠,/ˈaɪoʊ/,,−1.7,3642.6,89284845.2,421700,"+1.7693
(+1d 18h 27m 46s)",0.050,0.0040,1610,1610,Galileo,Galilean
II,Europa♠,/jʊəˈroʊpə/,,−1.4,3121.6,47987653.0,670900,"+3.5504
(+3d 13h 12m 38s)",0.470,0.0090,1610,1610,Galileo,Galilean
III,Ganymede♠,/ˈɡænɪmiːd/,,−2.1,5268.2,148190000,1070400,+7.1556,0.200,0.0013,1610,1610,Galileo,Galilean
IV,Callisto♠,/kəˈlɪstoʊ/,,−1.2,4820.6,107590000,1882700,+16.690,0.192,0.0074,1610,1610,Galileo,Galilean
XVIII,Themisto†,/θəˈmɪstoʊ/,,13.3,≈ 9,≈ 0.38,7397000,+129.97,44.3,0.257,1975/2000,1975,"Kowal & Roemer/
Sheppard et al.",Themisto
,S/2011 J 4♣,,,16.9,≈ 3,≈ 0.014,11104600,+239.05,28.5,0.128,2011,2026,Sheppard,Himalia
