Label,Name,Pronunciation,Image,"Abs.
magn.","Diameter
(km)","Mass
(×1015 kg)","Semi-major
axis
(km)",Orbital period (d),"Inclination
(°)",Eccentricity,Group,"Discovery
year",Year announced,Discoverer
,S/2009 S 1,—,,—,0.3,≈ 0.0000071,116914,+0.47203,≈ 0.0,≈ 0.000,,2009,2009,Cassini
,S/2009 S 2,—,,,?,,117059,+0.47290,≈ 0.0,≈ 0.000,,2009,2026,Spitale
XVIII,Pan,/ˈpæn/,,9.2,"28.2
(35 × 28 × 21)",4.30,133600,+0.57505,0.0,0.000,inner ring,1990,1990,Showalter
XXXV,Daphnis,/ˈdæfnəs/,,—,"7.6
(9.8 × 8.4 × 5.6)",0.068,136500,+0.59408,0.0,0.000,inner ring,2005,2005,Cassini
XV,Atlas,/ˈætləs/,,8.5,"30.2
(41 × 35 × 19)",5.490,137700,+0.60460,0.0,0.001,inner ring,1980,1980,Voyager 1
XVI,Prometheus,/proʊˈmiːθiəs/,,6.7,"86.2
(137 × 81 × 56)",159.72,139400,+0.61588,0.0,0.002,inner ring,1980,1980,Voyager 1
XVII,Pandora,/pænˈdɔːrə/,,6.5,"81.4
(104 × 81 × 64)",135.7,141700,+0.63137,0.0,0.004,inner ring,1980,1980,Voyager 1
XI,Epimetheus,/ɛpəˈmiːθiəs/,,5.5,"116.2
(130 × 114 × 106)",525.607,151400,+0.69701,0.3,0.020,co-orbital (with Janus),1966,1967,Fountain & Larson
X,Janus,/ˈdʒeɪnəs/,,4.5,"179
(203 × 185 × 153)",1893.88,151500,+0.69735,0.2,0.007,co-orbital (with Epimetheus),1966,1967,Dollfus
LIII,Aegaeon,/iːˈdʒiːɒn/,,—,"0.66
(1.4 × 0.5 × 0.4)",0.0000782,167500,+0.80812,0.0,0.000,ring-embedded,2008,2009,Cassini
I,♠Mimas,/ˈmaɪməs/,,3.2,"396.4
(416 × 393 × 381)",37509.4,186000,+0.94242,1.6,0.020,,1789,1789,Herschel
XXXII,Methone,/məˈθoʊniː/,,—,"2.9
(4.0 × 2.6 × 2.4)",0.00392,194700,+1.00955,0.0,0.002,ring-embedded,2004,2004,Cassini
XLIX,Anthe,/ˈænθiː/,,—,1.8,≈ 0.0015,198100,+1.03890,0.0,0.002,ring-embedded,2007,2007,Cassini
XXXIII,Pallene,/pəˈliːniː/,,—,"4.44
(5.8 × 4.2 × 3.7)",≈ 0.023,212300,+1.15606,0.2,0.004,ring-embedded,2004,2004,Cassini
II,♠Enceladus,/ɛnˈsɛlədəs/,,2.1,"504.2
(513 × 503 × 497)",108031.8,238400,+1.37022,0.0,0.005,,1789,1789,Herschel
III,♠Tethys,/ˈtiːθəs/,,0.7,"1062.2
(1077 × 1057 × 1053)",617495.9,295000,+1.88780,1.1,0.001,,1684,1684,Cassini
XIII,Telesto,/təˈlɛstoʊ/,,8.7,"24.8
(33 × 23 × 19)",≈ 3.9,295000,+1.88780,1.2,0.001,trojan (Tethys L4),1980,1980,Smith et al.
XIV,Calypso,/kəˈlɪpsoʊ/,,9.2,"21.4
(29 × 19 × 13)",≈ 1.8,295000,+1.88780,1.5,0.001,trojan (Tethys L5),1980,1980,Pascu et al.
